================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
================================================================
   -1.903148532256402e+02     2.449082210999386e+00
   -1.730631176945667e+02     2.815180916627423e+00
   -1.573710510711252e+02     3.180851479518553e+00
   -1.430983802546776e+02     3.538402997918918e+00
   -1.301173203643323e+02     3.880837813703754e+00
   -1.183114849548851e+02     4.202101269982007e+00
   -1.075748876525473e+02     4.497235053184043e+00
   -9.781102810806647e+01     4.762442439410796e+00
   -8.893205564964789e+01     4.995079453952003e+00
   -8.085800446834132e+01     5.193588616283392e+00
   -7.351609459231695e+01     5.357392232526076e+00
   -6.684009330793955e+01     5.486760842543343e+00
   -6.076973206677296e+01     5.582670103780132e+00
   -5.525017427944626e+01     5.646656647638236e+00
   -5.023152973995641e+01     5.680680677308152e+00
   -4.566841174755318e+01     5.687000548181242e+00
   -4.151953329793020e+01     5.668062425244388e+00
   -3.774733900122453e+01     5.626406399705422e+00
   -3.431766965162929e+01     5.564589162740857e+00
   -3.119945662272000e+01     5.485122434567305e+00
   -2.836444349448124e+01     5.390425770862952e+00
   -2.578693253319026e+01     5.282792049573778e+00
   -2.344355384454204e+01     5.164363816000442e+00
   -2.131305520450914e+01     5.037118676990313e+00
   -1.937611074227291e+01     4.902862039779964e+00
   -1.761514680600412e+01     4.763225651041659e+00
   -1.601418348617047e+01     4.619670579504907e+00
   -1.455869040325112e+01     4.473493481446747e+00
   -1.323545548806150e+01     4.325835179020142e+00
   -1.203246559412473e+01     4.177690758423866e+00
   -1.093879788341915e+01     4.029920553635865e+00
   -9.944521020097703e+00     3.883261519827813e+00
   -9.040605292086527e+00     3.738338618474046e+00
   -8.218840858456812e+00     3.595675934561756e+00
   -7.471763391716617e+00     3.455707326892290e+00
   -6.792586449236662e+00     3.318786477270717e+00
   -6.175139967417352e+00     3.185196255552694e+00
   -5.613814326396697e+00     3.055157357143171e+00
   -5.103509482528240e+00     2.928836199562645e+00
   -4.639588710928826e+00     2.806352086858827e+00
   -4.217836541480727e+00     2.687783666470552e+00
   -3.834420509113881e+00     2.573174713955481e+00
   -3.485856373307308e+00     2.462539287871605e+00
   -3.168976492823052e+00     2.355866300967824e+00
   -2.880901069986972e+00     2.253123555433592e+00
   -2.619012004601158e+00     2.154261289881726e+00
   -2.380929121035604e+00     2.059215284468916e+00
   -2.164488553405452e+00     1.967909568469415e+00
   -1.967723093181049e+00     1.880258771998564e+00
   -1.788844321271226e+00     1.796170160655332e+00
   -1.626226362721286e+00     1.715545388782265e+00
   -1.478391116817864e+00     1.638282003948753e+00
   -1.343994828722765e+00     1.564274732235770e+00
   -1.221815880885113e+00     1.493416570996998e+00
   -1.110743693513528e+00     1.425599713031396e+00
   -1.009768633425657e+00     1.360716323548858e+00
   -9.179728397208756e-01     1.298659188954869e+00
   -8.345218830248530e-01     1.239322254325275e+00
   -7.586571826062256e-01     1.182601064484361e+00
   -6.896891125336332e-01     1.128393121831671e+00
   -6.269907342873793e-01     1.076598172474399e+00
   -5.699920989201533e-01     1.027118430801247e+00
   -5.181750670267078e-01     9.798587513674313e-01
   -4.710685994795745e-01     9.347267558359228e-01
   -4.282444761592278e-01     8.916329217242723e-01
   -3.893134037910252e-01     8.504906388270999e-01
   -3.539214775328676e-01     8.112162384096383e-01
   -3.217469641687088e-01     7.737289995868610e-01
   -2.924973776828227e-01     7.379511367053262e-01
   -2.659068206445160e-01     7.038077710218064e-01
   -2.417335672467600e-01     6.712268895155250e-01
   -2.197578660368670e-01     6.401392932717466e-01
   -1.997799423727123e-01     6.104785375267046e-01
   -1.816181824521833e-01     5.821808651612369e-01
   -1.651074824129594e-01     5.551851351675735e-01
    1.904461620680402e+02     3.866069614459878e+00
    1.731717549426603e+02     4.263777117112433e+00
    1.574609139680879e+02     4.639591596140246e+00
    1.431727016281000e+02     4.987371315745365e+00
    1.301787801194800e+02     5.302301933059963e+00
    1.183623034359829e+02     5.580910876539374e+00
    1.076169036308594e+02     5.821008790950546e+00
    9.784576380010569e+01     6.021578125666335e+00
    8.896077083605194e+01     6.182627766861284e+00
