================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
================================================================
   -2.656647166478422e-01     3.173303490778519e+00
   -8.010228039325497e-01     3.171266383731365e+00
   -1.341843823167359e+00     3.169208933447350e+00
   -1.888240415087005e+00     3.167130725945824e+00
   -2.440328740574560e+00     3.165031334432397e+00
   -2.998228628884894e+00     3.162910318763503e+00
   -3.562063733752856e+00     3.160767224882654e+00
   -4.131961697894732e+00     3.158601584226574e+00
   -4.708054326450639e+00     3.156412913099274e+00
   -5.290477769957183e+00     3.154200712011944e+00
   -5.879372717485927e+00     3.151964464986405e+00
   -6.474884600633000e+00     3.149703638819690e+00
   -7.077163809099696e+00     3.147417682307089e+00
   -7.686365918663663e+00     3.145106025420844e+00
   -8.302651932404970e+00     3.142768078441387e+00
   -8.926188536123052e+00     3.140403231037807e+00
   -9.557148368957918e+00     3.138010851293935e+00
   -1.019571031031517e+01     3.135590284676143e+00
   -1.084205978428754e+01     3.133140852938590e+00
   -1.149638908286940e+01     3.130661852961354e+00
   -1.215889770937367e+01     3.128152555516399e+00
   -1.282979274358562e+01     3.125612203955948e+00
   -1.350928923032587e+01     3.123040012817337e+00
   -1.419761059324687e+01     3.120435166337841e+00
   -1.489498907585496e+01     3.117796816872454e+00
   -1.560166621193661e+01     3.115124083206861e+00
   -1.631789332777292e+01     3.112416048757176e+00
   -1.704393207875550e+01     3.109671759647179e+00
   -1.778005502327085e+01     3.106890222652912e+00
   -1.852654623700303e+01     3.104070403003477e+00
   -1.928370197111928e+01     3.101211222025791e+00
   -2.005183135815532e+01     3.098311554619796e+00
   -2.083125716980918e+01     3.095370226549259e+00
   -2.162231663129299e+01     3.092386011531733e+00
   -2.242536229738491e+01     3.089357628109534e+00
   -2.324076299587733e+01     3.086283736281630e+00
   -2.406890484474060e+01     3.083162933874151e+00
   -2.491019235002399e+01     3.079993752624791e+00
   -2.576504959230781e+01     3.076774653953544e+00
   -2.663392151041867e+01     3.073504024389124e+00
   -2.751727529213489e+01     3.070180170616832e+00
   -2.841560188276487e+01     3.066801314109575e+00
   -2.932941762379369e+01     3.063365585299206e+00
   -3.025926603529189e+01     3.059871017240039e+00
   -3.120571975749223e+01     3.056315538710476e+00
   -3.216938266890133e+01     3.052696966691790e+00
   -3.315089220056492e+01     3.049012998155274e+00
   -3.415092186869720e+01     3.045261201079921e+00
   -3.517018405087525e+01     3.041439004612366e+00
   -3.620943303445919e+01     3.037543688268779e+00
   -3.726946836991268e+01     3.033572370064417e+00
   -3.835113856636665e+01     3.029521993440339e+00
   -3.945534517221728e+01     3.025389312837769e+00
   -4.058304728992338e+01     3.021170877748550e+00
   -4.173526658165289e+01     3.016863015044073e+00
   -4.291309283124253e+01     3.012461809354544e+00
   -4.411769013835301e+01     3.007963081234287e+00
   -4.535030383305918e+01     3.003362362806072e+00
   -4.661226821382625e+01     2.998654870526456e+00
   -4.790501522940669e+01     2.993835474653379e+00
   -4.923008424629381e+01     2.988898664924390e+00
   -5.058913306880070e+01     2.983838511866011e+00
   -5.198395040962149e+01     2.978648623048668e+00
   -5.341647004618122e+01     2.973322093472529e+00
   -5.488878694385622e+01     2.967851449112062e+00
   -5.640317568339120e+01     2.962228582453712e+00
   -5.796211159932474e+01     2.956444678622406e+00
   -5.956829512257718e+01     2.950490130396274e+00
   -6.122467992829471e+01     2.944354440039013e+00
   -6.293450562586045e+01     2.938026105414175e+00
   -6.470133590004282e+01     2.931492487257268e+00
   -6.652910323181479e+01     2.924739653731370e+00
   -6.842216160972498e+01     2.917752197428641e+00
   -7.038534900878348e+01     2.910513018732555e+00
   -7.242406189265667e+01     2.903003067826093e+00
   -7.454434462718274e+01     2.895201035482471e+00
   -7.675299753641283e+01     2.887082979913346e+00
   -7.905770846921899e+01     2.878621873096992e+00
   -8.146721429528714e+01     2.869787044761946e+00
   -8.399150089171762e+01     2.860543494964509e+00
   -8.664205318217466e+01     2.850851036079366e+00
   -8.943217105690205e+01     2.840663210661011e+00
   -9.237737316810701e+01     2.829925910915946e+00
   -9.549591966932249e+01     2.818575595098309e+00
   -9.880949858933319e+01     2.806536950560404e+00
   -1.023441414377628e+02     2.793719783389721e+00
   -1.061314665288165e+02     2.780014805019198e+00
   -1.102104017090313e+02     2.765287809458369e+00
   -1.146296269828010e+02     2.749371440565531e+00
