================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
================================================================
    3.739654155233753e+00     2.123563654351190e+01
    1.231132080543393e+01     5.148756372344334e+01
    2.570153732572422e+01     8.848399734976232e+01
    4.380683572105312e+01     1.291443242652656e+02
    6.650919200506530e+01     1.691139469852366e+02
    9.374626505829379e+01     2.020857427146663e+02
    1.256559579484272e+02     2.217993060987078e+02
    1.626646345968767e+02     2.273663794356412e+02
    2.052716192328959e+02     2.259259313895305e+02
    2.535916932763579e+02     2.275852434166989e+02
    3.071487486170719e+02     2.387535223016511e+02
    3.651835078810595e+02     2.606154061364704e+02
    4.270245604746351e+02     2.910786162426991e+02
    4.921732957677372e+02     3.258703466097809e+02
    5.603062467319527e+02     3.579865437076113e+02
    6.313880283645519e+02     3.781798379663355e+02
    7.058019812650743e+02     3.795067043896181e+02
    7.842528246221863e+02     3.633206213904649e+02
    8.674656720474230e+02     3.395720250166416e+02
    9.560069237379538e+02     3.231282074744080e+02
    1.049988968760904e+03     3.379596131095190e+02
    1.145761228233223e+03     4.339766824527279e+02
    1.230017089185704e+03     5.458122375138231e+02
    1.317754176720342e+03     4.431978599342103e+02
    1.427204734003606e+03     4.419244436111678e+02
    1.525928249077921e+03     9.408762786726137e+02
    1.584678368112130e+03     8.559322522968170e+02
    1.682846155249680e+03     3.585693325147282e+02
    1.792205841231652e+03     2.246092259140206e+02
    1.901891395258625e+03     1.716136721510746e+02
    2.011281048793993e+03     1.429553150627707e+02
    2.120301492464448e+03     1.248349945544293e+02
    2.228831398455191e+03     1.124953018130242e+02
    2.336678970264223e+03     1.039413145431480e+02
    2.443595862773663e+03     9.826982701722329e+01
    2.549284533592744e+03     9.511390784988205e+01
    2.653399264410082e+03     9.443881398043978e+01
    2.755545422754146e+03     9.647933578122270e+01
    2.855280755502374e+03     1.017590489741371e+02
    2.952118174886261e+03     1.111877818750628e+02
    3.045520875953716e+03     1.262576600031880e+02
    3.134869837411031e+03     1.493172006122371e+02
    3.219380499690441e+03     1.835090698034196e+02
    3.298013888212790e+03     2.300115770394171e+02
    3.369858049915405e+03     2.764754416495306e+02
    3.435935083054966e+03     2.885074228578108e+02
    3.499711900942653e+03     2.531513650905799e+02
    3.562884041047163e+03     2.024020565486926e+02
    3.624390127100256e+03     1.601575008452647e+02
    3.682831143573733e+03     1.294478029497877e+02
    3.737301275882260e+03     1.072676010722167e+02
    3.787263212362572e+03     9.073427976947997e+01
    3.832378446232236e+03     7.789480985302481e+01
    3.872414963021147e+03     6.748864679920690e+01
    3.907202539186962e+03     5.867866727163846e+01
    3.936610969085790e+03     5.086813583969227e+01
    3.960539133320672e+03     4.357596897535110e+01
    3.978909460316146e+03     3.632528985034772e+01
    3.991665970021606e+03     2.846339506604836e+01
    3.998788124687625e+03     1.860412805819939e+01
