================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
================================================================
    2.900725181295324e+01     1.339756640447578e+02
    6.301575393848463e+01     2.165155997599926e+02
    1.140285071267817e+02     2.811429277709016e+02
    1.700425106276569e+02     2.743377203531890e+02
    2.360590147536885e+02     2.722147304406059e+02
    3.080770192548137e+02     2.710857163928561e+02
    3.790947736934234e+02     2.837030693030485e+02
    4.441110277569393e+02     2.965081521666343e+02
    5.081270317579394e+02     3.273011173029175e+02
    5.711427856964242e+02     3.411867502558040e+02
    6.351587896974244e+02     3.586792605674102e+02
    6.981745436359090e+02     3.404888602559366e+02
    7.611902975743935e+02     3.366576361600255e+02
    8.262065516379096e+02     3.060578980519674e+02
    8.922230557639409e+02     3.003465669109594e+02
    9.652413103275819e+02     2.882607321008338e+02
    1.040260065016254e+03     3.003479633582753e+02
    1.114278569642411e+03     3.233981004583180e+02
    1.175293823455864e+03     4.022534306766692e+02
    1.228307076769192e+03     4.035252710844755e+02
    1.275318829707427e+03     4.251755699516957e+02
    1.357339334833709e+03     3.783701252456189e+02
    1.406351587896974e+03     1.511394569560057e+02
    1.462365591397850e+03     4.633925502480428e+02
    1.527381845461365e+03     7.342559811976947e+02
    1.551387846961740e+03     6.804958145465823e+02
    1.586396599149788e+03     6.905095837118004e+02
    1.649412353088272e+03     3.628595906379180e+02
    1.718429607401850e+03     2.372174061737555e+02
    1.787446861715429e+03     1.794359514968954e+02
    1.855463865966492e+03     1.502969978668269e+02
    1.924481120280070e+03     1.302939247972784e+02
    1.992498124531133e+03     1.157949931634351e+02
    2.060515128782196e+03     1.064399727711523e+02
    2.129532383095774e+03     9.837925146782901e+01
    2.197549387346837e+03     9.190596633528213e+01
    2.266566641660415e+03     8.764977803106379e+01
    2.335583895973994e+03     8.375216470585868e+01
    2.405601400350088e+03     8.148686017500046e+01
    2.476619154788697e+03     8.032887868349789e+01
    2.550637659414854e+03     8.109955873592753e+01
    2.627656914228558e+03     8.192791669689593e+01
    2.704676169042261e+03     8.209936788139593e+01
    2.777694423605901e+03     8.206159235983242e+01
    2.848712178044511e+03     8.608311632481698e+01
    2.917729432358090e+03     9.023226124356641e+01
    2.986746686671669e+03     9.999903418527316e+01
    3.054763690922730e+03     1.101372540531949e+02
    3.122780695173793e+03     1.285510834316355e+02
    3.188797199299825e+03     1.481818678390949e+02
    3.252813203300826e+03     1.808322436898532e+02
    3.314828707176795e+03     2.184518728795667e+02
    3.372843210802701e+03     2.490739065804395e+02
    3.425856464116029e+03     2.653902093221843e+02
    3.483870967741935e+03     2.582654542001300e+02
    3.542885721430358e+03     2.098630348099664e+02
    3.604901225306327e+03     1.786632427516014e+02
    3.668917229307327e+03     1.414890917730856e+02
    3.733933483370843e+03     1.237074853654507e+02
    3.799949987496875e+03     1.019553507258411e+02
    3.865966491622906e+03     9.306437588369286e+01
    3.932983245811453e+03     7.975617368947749e+01
    4.000000000000000e+03     7.480497731842618e+01
