================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
================================================================
   -1.896444004561281e+02     6.398746261024147e+02
   -1.725075659814776e+02     9.104212409704787e+02
   -1.569106024676767e+02     1.248930039783029e+03
   -1.427164802373146e+02     1.657704144235314e+03
   -1.298001847004946e+02     2.135739950587508e+03
   -1.180476826350774e+02     2.678817668767657e+03
   -1.073549750414852e+02     3.279900646818001e+03
   -9.762722984279888e+01     3.929748999086734e+03
   -8.877798825659565e+01     4.617639994287146e+03
   -8.072843894703645e+01     5.332097187559752e+03
   -7.340675430402933e+01     6.061553509459539e+03
   -6.674748349859192e+01     6.794901451274696e+03
   -6.069099734609834e+01     7.521909416403780e+03
   -5.518298044104587e+01     8.233503570290215e+03
   -5.017396646624390e+01     8.921928027877444e+03
   -4.561891299257248e+01     9.580803555999142e+03
   -4.147681245429433e+01     1.020510752276706e+04
   -3.771033630411512e+01     1.079109714447354e+04
   -3.428550962505772e+01     1.133619552006002e+04
   -3.117141371004409e+01     1.183885653243409e+04
   -2.833991432300001e+01     1.229842112795603e+04
   -2.576541353456148e+01     1.271497417352767e+04
   -2.342462318676057e+01     1.308920824216934e+04
   -2.129635818849750e+01     1.342229836275776e+04
   -1.936134797992398e+01     1.371578997495554e+04
   -1.760206463083221e+01     1.397150099974973e+04
   -1.600256615685270e+01     1.419143799475590e+04
   -1.454835374837591e+01     1.437772573426484e+04
   -1.322624171105224e+01     1.453254916553857e+04
   -1.202423901379487e+01     1.465810648352999e+04
   -1.093144143066657e+01     1.475657198538271e+04
   -9.937933347121822e+00     1.483006737363759e+04
   -9.034698379060224e+00     1.488064024222595e+04
   -8.213538025302974e+00     1.491024857909018e+04
   -7.466997640725869e+00     1.492075023701001e+04
   -6.788299078677008e+00     1.491389644827503e+04
   -6.171279407788953e+00     1.489132858139278e+04
   -5.610335160179091e+00     1.485457745406465e+04
   -5.100371615629927e+00     1.480506462327852e+04
   -4.636756669957620e+00     1.474410516911082e+04
   -4.215278875704809e+00     1.467291157326241e+04
   -3.832109279814220e+00     1.459259836670840e+04
   -3.483766716317422e+00     1.450418728376097e+04
   -3.167086242559777e+00     1.440861271321792e+04
   -2.879190435312566e+00     1.430672728208512e+04
   -2.617463288515596e+00     1.419930744463912e+04
   -2.379526477551897e+00     1.408705898032536e+04
   -2.163217776069275e+00     1.397062232909161e+04
   -1.966571430605748e+00     1.385057771307900e+04
