================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
================================================================
   -1.141785581285911e-41     1.082718005740077e+00
   -4.228639469658098e-11     1.082718005739748e+00
   -2.919165839695510e-09     1.082718005717340e+00
   -2.252704232088741e-08     1.082718005564615e+00
   -8.599686535354806e-08     1.082718005070252e+00
   -2.347123291046499e-07     1.082718003911915e+00
   -5.237388171099835e-07     1.082718001660703e+00
   -1.021712698092673e-06     1.082717997782010e+00
   -1.811024285002446e-06     1.082717991634103e+00
   -2.987829030117186e-06     1.082717982468032e+00
   -4.662025160074631e-06     1.082717969427805e+00
   -6.957247047049225e-06     1.082717951550441e+00
   -1.001086519825624e-05     1.082717927765968e+00
   -1.397398685516930e-05     1.082717896897419e+00
   -1.901145629088709e-05     1.082717857660833e+00
   -2.530185494461456e-05     1.082717808665246e+00
   -3.303750151446516e-05     1.082717748412701e+00
   -4.242445205347796e-05     1.082717675298236e+00
   -5.368250008321916e-05     1.082717587609894e+00
   -6.704517673069248e-05     1.082717483528713e+00
   -8.275975089232271e-05     1.082717361128732e+00
   -1.010872294285074e-04     1.082717218376983e+00
   -1.223023573923415e-04     1.082717053133495e+00
   -1.466936182963000e-04     1.082716863151290e+00
   -1.745632344208750e-04     1.082716646076378e+00
   -2.062271671693441e-04     1.082716399447760e+00
   -2.420151174730674e-04     1.082716120697421e+00
   -2.822705262518920e-04     1.082715807150326e+00
   -3.273505749344617e-04     1.082715456024420e+00
   -3.776261860434012e-04     1.082715064430623e+00
   -4.334820238505851e-04     1.082714629372821e+00
   -4.953164951078551e-04     1.082714147747866e+00
   -5.635417498587933e-04     1.082713616345568e+00
   -6.385836823373045e-04     1.082713031848689e+00
   -7.208819319590597e-04     1.082712390832934e+00
   -8.108898844118936e-04     1.082711689766946e+00
   -9.090746728516341e-04     1.082710925012296e+00
   -1.015917179209901e-03     1.082710092823474e+00
   -1.131912035620676e-03     1.082709189347878e+00
   -1.257567625972631e-03     1.082708210625803e+00
   -1.393406087594427e-03     1.082707152590430e+00
   -1.539963313080306e-03     1.082706011067814e+00
   -1.697788952263703e-03     1.082704781776864e+00
   -1.867446414346524e-03     1.082703460329337e+00
   -2.049512870192175e-03     1.082702042229811e+00
   -2.244579254790563e-03     1.082700522875677e+00
   -2.453250269903333e-03     1.082698897557113e+00
   -2.676144386898202e-03     1.082697161457069e+00
   -2.913893849780877e-03     1.082695309651240e+00
   -3.167144678433837e-03     1.082693337108047e+00
   -3.436556672071073e-03     1.082691238688611e+00
   -3.722803412918257e-03     1.082689009146725e+00
   -4.026572270127850e-03     1.082686643128829e+00
   -4.348564403939129e-03     1.082684135173977e+00
   -4.689494770093220e-03     1.082681479713807e+00
   -5.050092124512963e-03     1.082678671072508e+00
   -5.431099028258746e-03     1.082675703466783e+00
   -5.833271852770298e-03     1.082672571005812e+00
   -6.257380785405862e-03     1.082669267691213e+00
   -6.704209835289141e-03     1.082665787416998e+00
   -7.174556839476293e-03     1.082662123969533e+00
   -7.669233469453415e-03     1.082658271027487e+00
   -8.189065237976986e-03     1.082654222161783e+00
   -8.734891506268773e-03     1.082649970835552e+00
   -9.307565491577637e-03     1.082645510404071e+00
   -9.907954275120263e-03     1.082640834114713e+00
   -1.053693881041351e-02     1.082635935106881e+00
   -1.119541393201149e-02     1.082630806411952e+00
   -1.188428836465961e-02     1.082625440953205e+00
   -1.260448473287967e-02     1.082619831545757e+00
   -1.335693957099891e-02     1.082613970896490e+00
   -1.414260333363644e-02     1.082607851603971e+00
   -1.496244040666188e-02     1.082601466158384e+00
   -1.581742911863929e-02     1.082594806941436e+00
   -1.670856175277102e-02     1.082587866226279e+00
   -1.763684455935672e-02     1.082580636177420e+00
   -1.860329776878102e-02     1.082573108850625e+00
